"pop" "id.raw" "id" "k.value.run" "X1" "X2" "X3" "membership"
"207" "LN" "whtstbk_gbs_2015_L2_brds_LN18" "LN18" 1 1 NA NA 1
"208" "LN" "whtstbk_gbs_2015_L2_brds_LN2" "LN2" 1 1 NA NA 1
"209" "LN" "whtstbk_gbs_2015_L2_brds_LN20" "LN20" 1 1 NA NA 1
"210" "LN" "whtstbk_gbs_2015_L2_brds_LN21" "LN21" 1 1 NA NA 1
"211" "LN" "whtstbk_gbs_2015_L2_brds_LN23" "LN23" 1 1 NA NA 1
"212" "LN" "whtstbk_gbs_2015_L2_brds_LN24" "LN24" 1 1 NA NA 1
"213" "LN" "whtstbk_gbs_2015_L2_brds_LN29" "LN29" 1 1 NA NA 1
"214" "LN" "whtstbk_gbs_2015_L2_brds_LN30" "LN30" 1 1 NA NA 1
"215" "LN" "whtstbk_gbs_2015_L2_brds_LN5" "LN5" 1 1 NA NA 1
"216" "LN" "whtstbk_gbs_2015_L2_brds_LN8" "LN8" 1 1 NA NA 1
"217" "MH" "whtstbk_gbs_2015_L2_brds_MH11" "MH11" 1 1 NA NA 1
"218" "MH" "whtstbk_gbs_2015_L2_brds_MH20" "MH20" 1 1 NA NA 1
"219" "MH" "whtstbk_gbs_2015_L2_brds_MH26" "MH26" 1 1 NA NA 1
"220" "MH" "whtstbk_gbs_2015_L2_brds_MH28" "MH28" 1 1 NA NA 1
"221" "MH" "whtstbk_gbs_2015_L2_brds_MH31" "MH31" 1 1 NA NA 1
"222" "MH" "whtstbk_gbs_2015_L2_brds_MH7" "MH7" 1 1 NA NA 1
"223" "MH" "whtstbk_gbs_2015_L2_brds_MH9" "MH9" 1 1 NA NA 1
"224" "MM" "whtstbk_gbs_2015_L2_brds_MM1" "MM1" 1 1 NA NA 1
"225" "MR" "whtstbk_gbs_2015_L2_brds_MR10" "MR10" 1 1 NA NA 1
"226" "MR" "whtstbk_gbs_2015_L2_brds_MR14" "MR14" 1 1 NA NA 1
"227" "MR" "whtstbk_gbs_2015_L2_brds_MR17" "MR17" 1 1 NA NA 1
"228" "MR" "whtstbk_gbs_2015_L2_brds_MR2" "MR2" 1 1 NA NA 1
"229" "MR" "whtstbk_gbs_2015_L2_brds_MR3" "MR3" 1 1 NA NA 1
"230" "MR" "whtstbk_gbs_2015_L2_brds_MR53" "MR53" 1 1 NA NA 1
"231" "MR" "whtstbk_gbs_2015_L2_brds_MR57" "MR57" 1 1 NA NA 1
"232" "MR" "whtstbk_gbs_2015_L2_brds_MR7" "MR7" 1 1 NA NA 1
"233" "MR" "whtstbk_gbs_2015_L2_brds_MR8" "MR8" 1 1 NA NA 1
"234" "NHR" "whtstbk_gbs_2015_L2_brds_NHR1" "NHR1" 1 1 NA NA 1
"235" "QR" "whtstbk_gbs_2015_L2_brds_QR1" "QR1" 1 1 NA NA 1
"236" "RT" "whtstbk_gbs_2015_L2_brds_RT20" "RT20" 1 1 NA NA 1
"237" "RT" "whtstbk_gbs_2015_L2_brds_RT21" "RT21" 1 1 NA NA 1
"238" "RT" "whtstbk_gbs_2015_L2_brds_RT23" "RT23" 1 1 NA NA 1
"239" "RT" "whtstbk_gbs_2015_L2_brds_RT40" "RT40" 1 1 NA NA 1
"240" "RT" "whtstbk_gbs_2015_L2_brds_RT43" "RT43" 1 1 NA NA 1
"241" "RT" "whtstbk_gbs_2015_L2_brds_RT46" "RT46" 1 1 NA NA 1
"242" "RT" "whtstbk_gbs_2015_L2_brds_RT48" "RT48" 1 1 NA NA 1
"243" "RT" "whtstbk_gbs_2015_L2_brds_RT49" "RT49" 1 1 NA NA 1
"244" "RT" "whtstbk_gbs_2015_L2_brds_RT54" "RT54" 1 1 NA NA 1
"245" "RT" "whtstbk_gbs_2015_L2_brds_RT55" "RT55" 1 1 NA NA 1
"246" "RT" "whtstbk_gbs_2015_L2_brds_RT62" "RT62" 1 1 NA NA 1
"247" "SF" "whtstbk_gbs_2015_L2_brds_SF1" "SF1" 1 1 NA NA 1
"248" "SF" "whtstbk_gbs_2015_L2_brds_SF10" "SF10" 1 1 NA NA 1
"249" "SF" "whtstbk_gbs_2015_L2_brds_SF22" "SF22" 1 1 NA NA 1
"250" "SF" "whtstbk_gbs_2015_L2_brds_SF23" "SF23" 1 1 NA NA 1
"251" "SF" "whtstbk_gbs_2015_L2_brds_SF25" "SF25" 1 1 NA NA 1
"252" "SF" "whtstbk_gbs_2015_L2_brds_SF29" "SF29" 1 1 NA NA 1
